Date,Vaccine_type,Doses_per_Day,OBJECTID
2020/12/03,Moderna,1,0
2020/12/08,Pfizer,1,1
2020/12/12,None,1,2
2020/12/15,Pfizer,92,3
2020/12/16,Pfizer,227,4
2020/12/17,Pfizer,488,5
2020/12/18,Pfizer,477,6
2020/12/21,Pfizer,455,7
2020/12/22,Pfizer,678,8
2020/12/23,None,2,9
2020/12/23,Pfizer,690,10
2020/12/26,Pfizer,1,11
2020/12/27,None,1,12
2020/12/27,Pfizer,2,13
2020/12/28,Pfizer,10,14
2020/12/29,Pfizer,699,15
2020/12/30,Pfizer,858,16
2020/12/31,Moderna,2,17
2020/12/31,None,1,18
2020/12/31,Pfizer,489,19
2021/01/01,Pfizer,525,20
2021/01/02,Moderna,1,21
2021/01/02,None,1,22
2021/01/02,Pfizer,647,23
2021/01/03,Moderna,1,24
2021/01/03,None,1,25
2021/01/03,Pfizer,636,26
2021/01/04,Moderna,2,27
2021/01/04,Pfizer,936,28
2021/01/05,Moderna,2,29
2021/01/05,None,1,30
2021/01/05,Pfizer,455,31
2021/01/06,Moderna,6,32
2021/01/06,None,2,33
2021/01/06,Pfizer,992,34
2021/01/07,AstraZeneca,1,35
2021/01/07,Moderna,5,36
2021/01/07,Pfizer,1483,37
2021/01/08,Moderna,11,38
2021/01/08,Pfizer,1663,39
2021/01/09,Moderna,2,40
2021/01/09,Pfizer,804,41
2021/01/10,Moderna,3,42
2021/01/10,Pfizer,531,43
2021/01/11,Moderna,6,44
2021/01/11,None,4,45
2021/01/11,Pfizer,218,46
2021/01/12,Moderna,8,47
2021/01/12,None,1,48
2021/01/12,Pfizer,19,49
2021/01/13,Moderna,18,50
2021/01/13,None,1,51
2021/01/13,Pfizer,710,52
2021/01/14,Moderna,10,53
2021/01/14,None,1,54
2021/01/14,Pfizer,500,55
2021/01/15,Moderna,8,56
2021/01/15,Pfizer,1327,57
2021/01/16,Moderna,5,58
2021/01/16,Pfizer,1233,59
2021/01/17,Moderna,3,60
2021/01/17,Pfizer,297,61
2021/01/18,Moderna,1,62
2021/01/18,Pfizer,32,63
2021/01/19,Moderna,2,64
